0,13786434,7461199,6325235,1.03 ,0.56 ,0.47 ,117.96 
1,15657955,8574973,7082982,1.17 ,0.64 ,0.53 ,121.06 
2,15617375,8507697,7109678,1.17 ,0.64 ,0.53 ,119.66 
3,15250805,8272491,6978314,1.14 ,0.62 ,0.52 ,118.55 
4,15220041,8246206,6973835,1.14 ,0.62 ,0.52 ,118.24 
5,14732137,7988151,6743986,1.11 ,0.60 ,0.51 ,118.45 
6,14804470,8034452,6770018,1.11 ,0.60 ,0.51 ,118.68 
7,13429161,7292300,6136861,1.01 ,0.55 ,0.46 ,118.83 
8,13666956,7423559,6243397,1.03 ,0.56 ,0.47 ,118.90 
9,14248825,7726203,6522622,1.07 ,0.58 ,0.49 ,118.45 
10,14454357,7830808,6623549,1.08 ,0.59 ,0.50 ,118.23 
11,13935714,7522558,6413156,1.05 ,0.56 ,0.48 ,117.30 
12,15399559,8288987,7110572,1.16 ,0.62 ,0.53 ,116.57 
13,15225032,8161000,7064032,1.14 ,0.61 ,0.53 ,115.53 
14,15893800,8463924,7429876,1.19 ,0.64 ,0.56 ,113.92 
15,18024484,9524898,8499586,1.35 ,0.71 ,0.64 ,112.06 
16,18790521,9795181,8995340,1.41 ,0.73 ,0.67 ,108.89 
17,20775369,10760828,10014541,1.56 ,0.81 ,0.75 ,107.45 
18,20755274,10744556,10010718,1.56 ,0.81 ,0.75 ,107.33 
19,21543466,11079367,10464099,1.62 ,0.83 ,0.79 ,105.88 
20,28026954,14201091,13825863,2.10 ,1.07 ,1.04 ,102.71 
21,26556649,13357755,13198894,1.99 ,1.00 ,0.99 ,101.20 
22,24474192,12281148,12193044,1.84 ,0.92 ,0.91 ,100.72 
23,25695955,12876542,12819413,1.93 ,0.97 ,0.96 ,100.45 
24,22658768,11292037,11366731,1.70 ,0.85 ,0.85 ,99.34 
25,19933683,9969984,9963699,1.50 ,0.75 ,0.75 ,100.06 
26,19709177,9879292,9829885,1.48 ,0.74 ,0.74 ,100.50 
27,19480836,9801611,9679225,1.46 ,0.74 ,0.73 ,101.26 
28,22322147,11271599,11050548,1.67 ,0.85 ,0.83 ,102.00 
29,19568009,9914552,9653457,1.47 ,0.74 ,0.72 ,102.70 
30,18928369,9604727,9323642,1.42 ,0.72 ,0.70 ,103.01 
31,19866458,10141582,9724876,1.49 ,0.76 ,0.73 ,104.28 
32,19474874,9909833,9565041,1.46 ,0.74 ,0.72 ,103.60 
33,18179478,9289224,8890254,1.36 ,0.70 ,0.67 ,104.49 
34,20689024,10576456,10112568,1.55 ,0.79 ,0.76 ,104.59 
35,21186516,10817432,10369084,1.59 ,0.81 ,0.78 ,104.32 
36,22906980,11690644,11216336,1.72 ,0.88 ,0.84 ,104.23 
37,23990208,12283353,11706855,1.80 ,0.92 ,0.88 ,104.92 
38,24730460,12662559,12067901,1.86 ,0.95 ,0.91 ,104.93 
39,25211795,12937116,12274679,1.89 ,0.97 ,0.92 ,105.40 
40,27397219,13993123,13404096,2.06 ,1.05 ,1.01 ,104.39 
41,24956297,12723691,12232606,1.87 ,0.95 ,0.92 ,104.01 
42,27032542,13782610,13249932,2.03 ,1.03 ,0.99 ,104.02 
43,21355748,10856214,10499534,1.60 ,0.81 ,0.79 ,103.40 
44,24012158,12253040,11759118,1.80 ,0.92 ,0.88 ,104.20 
45,23962574,12252515,11710059,1.80 ,0.92 ,0.88 ,104.63 
46,23355778,11867147,11488631,1.75 ,0.89 ,0.86 ,103.29 
47,26972157,13803796,13168361,2.02 ,1.04 ,0.99 ,104.83 
48,20075084,10224798,9850286,1.51 ,0.77 ,0.74 ,103.80 
49,11228960,5628162,5600798,0.84 ,0.42 ,0.42 ,100.49 
50,14097008,7205176,6891832,1.06 ,0.54 ,0.52 ,104.55 
51,12838832,6624865,6213967,0.96 ,0.50 ,0.47 ,106.61 
52,16617709,8570000,8047709,1.25 ,0.64 ,0.60 ,106.49 
53,18351980,9422827,8929153,1.38 ,0.71 ,0.67 ,105.53 
54,16847642,8540366,8307276,1.26 ,0.64 ,0.62 ,102.81 
55,17610528,8973192,8637336,1.32 ,0.67 ,0.65 ,103.89 
56,17738127,8981235,8756892,1.33 ,0.67 ,0.66 ,102.56 
57,16093888,8099033,7994855,1.21 ,0.61 ,0.60 ,101.30 
58,16167933,8153588,8014345,1.21 ,0.61 ,0.60 ,101.74 
59,13701998,6875890,6826108,1.03 ,0.52 ,0.51 ,100.73 
60,13618204,6917026,6701178,1.02 ,0.52 ,0.50 ,103.22 
61,13029125,6690003,6339122,0.98 ,0.50 ,0.48 ,105.54 
62,11276853,5719180,5557673,0.85 ,0.43 ,0.42 ,102.91 
63,10791633,5492805,5298828,0.81 ,0.41 ,0.40 ,103.66 
64,9951467,5015412,4936055,0.75 ,0.38 ,0.37 ,101.61 
65,9073411,4564266,4509145,0.68 ,0.34 ,0.34 ,101.22 
66,8640965,4391409,4249556,0.65 ,0.33 ,0.32 ,103.34 
67,7942141,4003493,3938648,0.60 ,0.30 ,0.30 ,101.65 
68,7740868,3904424,3836444,0.58 ,0.29 ,0.29 ,101.77 
69,7715897,3884879,3831018,0.58 ,0.29 ,0.29 ,101.41 
70,7389412,3724605,3664807,0.55 ,0.28 ,0.27 ,101.63 
71,6265718,3116177,3149541,0.47 ,0.23 ,0.24 ,98.94 
72,6893225,3449237,3443988,0.52 ,0.26 ,0.26 ,100.15 
73,6343869,3149307,3194562,0.48 ,0.24 ,0.24 ,98.58 
74,6080173,2964127,3116046,0.46 ,0.22 ,0.23 ,95.12 
75,5632477,2690547,2941930,0.42 ,0.20 ,0.22 ,91.46 
76,5175500,2454168,2721332,0.39 ,0.18 ,0.20 ,90.18 
77,5082383,2420196,2662187,0.38 ,0.18 ,0.20 ,90.91 
78,4254858,1983724,2271134,0.32 ,0.15 ,0.17 ,87.35 
79,3706915,1730224,1976691,0.28 ,0.13 ,0.15 ,87.53 
80,3737259,1716514,2020745,0.28 ,0.13 ,0.15 ,84.94 
81,2816693,1257795,1558898,0.21 ,0.09 ,0.12 ,80.68 
82,2757918,1212683,1545235,0.21 ,0.09 ,0.12 ,78.48 
83,2237138,964710,1272428,0.17 ,0.07 ,0.10 ,75.82 
84,1824190,765800,1058390,0.14 ,0.06 ,0.08 ,72.36 
85,1648160,672819,975341,0.12 ,0.05 ,0.07 ,68.98 
86,1344215,530641,813574,0.10 ,0.04 ,0.06 ,65.22 
87,1065276,408984,656292,0.08 ,0.03 ,0.05 ,62.32 
88,858879,324282,534597,0.06 ,0.02 ,0.04 ,60.66 
89,715398,263084,452314,0.05 ,0.02 ,0.03 ,58.16 
90,553805,193982,359823,0.04 ,0.01 ,0.03 ,53.91 
91,371079,126484,244595,0.03 ,0.01 ,0.02 ,51.71 
92,287676,94157,193519,0.02 ,0.01 ,0.01 ,48.66 
93,209291,66717,142574,0.02 ,0.01 ,0.01 ,46.79 
94,156456,49532,106924,0.01 ,,0.01 ,46.32 
95,117522,36268,81254,0.01 ,,0.01 ,44.64 
96,90889,28664,62225,0.01 ,,,46.07 
97,68648,22045,46603,0.01 ,,,47.30 
98,54689,18355,36334,,,,50.52 
99,38231,12384,25847,,,,47.91 
100,35934,8852,27082,,,,32.69